label n=0 pc=2790 pf=2259 | mention pc=2262 pf=253
label n=0 pc=2790 pf=2259 | mention pc=2565 pf=311
label n=0 pc=2790 pf=2259 | mention pc=2405 pf=348
label n=0 pc=2790 pf=2259 | mention pc=2122 pf=505
label n=0 pc=2790 pf=2259 | mention pc=2140 pf=710
label n=0 pc=2790 pf=2259 | mention pc=2151 pf=747
label n=0 pc=2790 pf=2259 | mention pc=2486 pf=766
label n=0 pc=2790 pf=2259 | mention pc=2001 pf=1208
label n=0 pc=2790 pf=2259 | mention pc=2569 pf=1227
label n=0 pc=2790 pf=2259 | mention pc=2446 pf=1523
label n=0 pc=2790 pf=2259 | mention pc=2225 pf=1542
label n=0 pc=2790 pf=2259 | mention pc=2151 pf=1668
label n=0 pc=2790 pf=2259 | mention pc=2126 pf=1771
label n=0 pc=2790 pf=2259 | mention pc=2382 pf=1910
label n=0 pc=2790 pf=2259 | mention pc=2138 pf=2347
label n=0 pc=2790 pf=2259 | mention pc=2058 pf=2366
label n=0 pc=2790 pf=2259 | mention pc=2375 pf=2462
label n=0 pc=2790 pf=2259 | mention pc=1787 pf=2503
label n=0 pc=2790 pf=2259 | mention pc=2013 pf=2539
label n=0 pc=2790 pf=2259 | mention pc=2439 pf=2558
label n=0 pc=2790 pf=2259 | mention pc=1972 pf=2679
label n=0 pc=2790 pf=2259 | mention pc=2208 pf=3370
label n=0 pc=2790 pf=2259 | mention pc=2379 pf=3591
label n=0 pc=2790 pf=2259 | mention pc=2140 pf=3793
label n=0 pc=2790 pf=2259 | mention pc=2151 pf=3830
label n=0 pc=2790 pf=2259 | mention pc=1833 pf=3849
label n=0 pc=2795 pf=2274 | mention pc=2474 pf=121
label n=0 pc=2795 pf=2274 | mention pc=2262 pf=253
label n=0 pc=2795 pf=2274 | mention pc=2565 pf=311
label n=0 pc=2795 pf=2274 | mention pc=2405 pf=348
label n=0 pc=2795 pf=2274 | mention pc=2122 pf=505
label n=0 pc=2795 pf=2274 | mention pc=2140 pf=710
label n=0 pc=2795 pf=2274 | mention pc=2151 pf=747
label n=0 pc=2795 pf=2274 | mention pc=2486 pf=766
label n=0 pc=2795 pf=2274 | mention pc=2001 pf=1208
label n=0 pc=2795 pf=2274 | mention pc=2569 pf=1227
label n=0 pc=2795 pf=2274 | mention pc=2446 pf=1523
label n=0 pc=2795 pf=2274 | mention pc=2225 pf=1542
label n=0 pc=2795 pf=2274 | mention pc=2151 pf=1668
label n=0 pc=2795 pf=2274 | mention pc=2126 pf=1771
label n=0 pc=2795 pf=2274 | mention pc=2382 pf=1910
label n=0 pc=2795 pf=2274 | mention pc=2138 pf=2347
label n=0 pc=2795 pf=2274 | mention pc=2058 pf=2366
label n=0 pc=2795 pf=2274 | mention pc=2375 pf=2462
label n=0 pc=2795 pf=2274 | mention pc=1787 pf=2503
label n=0 pc=2795 pf=2274 | mention pc=2013 pf=2539
label n=0 pc=2795 pf=2274 | mention pc=2439 pf=2558
label n=0 pc=2795 pf=2274 | mention pc=1972 pf=2679
label n=0 pc=2795 pf=2274 | mention pc=2208 pf=3370
label n=0 pc=2795 pf=2274 | mention pc=2379 pf=3591
label n=0 pc=2795 pf=2274 | mention pc=2140 pf=3793
label n=0 pc=2795 pf=2274 | mention pc=2151 pf=3830
label n=0 pc=2795 pf=2274 | mention pc=1833 pf=3849
label n=0 pc=2800 pf=2289 | mention pc=2474 pf=121
label n=0 pc=2800 pf=2289 | mention pc=2262 pf=253
label n=0 pc=2800 pf=2289 | mention pc=2565 pf=311
label n=0 pc=2800 pf=2289 | mention pc=2405 pf=348
label n=0 pc=2800 pf=2289 | mention pc=2122 pf=505
label n=0 pc=2800 pf=2289 | mention pc=2140 pf=710
label n=0 pc=2800 pf=2289 | mention pc=2151 pf=747
label n=0 pc=2800 pf=2289 | mention pc=2486 pf=766
label n=0 pc=2800 pf=2289 | mention pc=2001 pf=1208
label n=0 pc=2800 pf=2289 | mention pc=2569 pf=1227
label n=0 pc=2800 pf=2289 | mention pc=2446 pf=1523
label n=0 pc=2800 pf=2289 | mention pc=2225 pf=1542
label n=0 pc=2800 pf=2289 | mention pc=2151 pf=1668
label n=0 pc=2800 pf=2289 | mention pc=2126 pf=1771
label n=0 pc=2800 pf=2289 | mention pc=2382 pf=1910
label n=0 pc=2800 pf=2289 | mention pc=2138 pf=2347
label n=0 pc=2800 pf=2289 | mention pc=2058 pf=2366
label n=0 pc=2800 pf=2289 | mention pc=2375 pf=2462
label n=0 pc=2800 pf=2289 | mention pc=1787 pf=2503
label n=0 pc=2800 pf=2289 | mention pc=2013 pf=2539
label n=0 pc=2800 pf=2289 | mention pc=2439 pf=2558
label n=0 pc=2800 pf=2289 | mention pc=1972 pf=2679
label n=0 pc=2800 pf=2289 | mention pc=2208 pf=3370
label n=0 pc=2800 pf=2289 | mention pc=2379 pf=3591
label n=0 pc=2800 pf=2289 | mention pc=2140 pf=3793
label n=0 pc=2800 pf=2289 | mention pc=2151 pf=3830
label n=0 pc=2800 pf=2289 | mention pc=1833 pf=3849
label n=0 pc=2805 pf=2304 | mention pc=2474 pf=121
label n=0 pc=2805 pf=2304 | mention pc=2262 pf=253
label n=0 pc=2805 pf=2304 | mention pc=2565 pf=311
label n=0 pc=2805 pf=2304 | mention pc=2405 pf=348
label n=0 pc=2805 pf=2304 | mention pc=2122 pf=505
label n=0 pc=2805 pf=2304 | mention pc=2140 pf=710
label n=0 pc=2805 pf=2304 | mention pc=2151 pf=747
label n=0 pc=2805 pf=2304 | mention pc=2486 pf=766
label n=0 pc=2805 pf=2304 | mention pc=2001 pf=1208
label n=0 pc=2805 pf=2304 | mention pc=2569 pf=1227
label n=0 pc=2805 pf=2304 | mention pc=2446 pf=1523
label n=0 pc=2805 pf=2304 | mention pc=2225 pf=1542
label n=0 pc=2805 pf=2304 | mention pc=2151 pf=1668
label n=0 pc=2805 pf=2304 | mention pc=2126 pf=1771
label n=0 pc=2805 pf=2304 | mention pc=2382 pf=1910
label n=0 pc=2805 pf=2304 | mention pc=2138 pf=2347
label n=0 pc=2805 pf=2304 | mention pc=2058 pf=2366
label n=0 pc=2805 pf=2304 | mention pc=2375 pf=2462
label n=0 pc=2805 pf=2304 | mention pc=1787 pf=2503
label n=0 pc=2805 pf=2304 | mention pc=2013 pf=2539
label n=0 pc=2805 pf=2304 | mention pc=2439 pf=2558
label n=0 pc=2805 pf=2304 | mention pc=1972 pf=2679
label n=0 pc=2805 pf=2304 | mention pc=2208 pf=3370
label n=0 pc=2805 pf=2304 | mention pc=2379 pf=3591
label n=0 pc=2805 pf=2304 | mention pc=2140 pf=3793
label n=0 pc=2805 pf=2304 | mention pc=2151 pf=3830
label n=0 pc=2805 pf=2304 | mention pc=1833 pf=3849
label n=0 pc=2810 pf=2319 | mention pc=2474 pf=121
label n=0 pc=2810 pf=2319 | mention pc=2262 pf=253
label n=0 pc=2810 pf=2319 | mention pc=2565 pf=311
label n=0 pc=2810 pf=2319 | mention pc=2405 pf=348
label n=0 pc=2810 pf=2319 | mention pc=2122 pf=505
label n=0 pc=2810 pf=2319 | mention pc=2140 pf=710
label n=0 pc=2810 pf=2319 | mention pc=2151 pf=747
label n=0 pc=2810 pf=2319 | mention pc=2486 pf=766
label n=0 pc=2810 pf=2319 | mention pc=2001 pf=1208
label n=0 pc=2810 pf=2319 | mention pc=2569 pf=1227
label n=0 pc=2810 pf=2319 | mention pc=2446 pf=1523
label n=0 pc=2810 pf=2319 | mention pc=2225 pf=1542
label n=0 pc=2810 pf=2319 | mention pc=2151 pf=1668
label n=0 pc=2810 pf=2319 | mention pc=2126 pf=1771
label n=0 pc=2810 pf=2319 | mention pc=2382 pf=1910
label n=0 pc=2810 pf=2319 | mention pc=2138 pf=2347
label n=0 pc=2810 pf=2319 | mention pc=2058 pf=2366
label n=0 pc=2810 pf=2319 | mention pc=2375 pf=2462
label n=0 pc=2810 pf=2319 | mention pc=1787 pf=2503
label n=0 pc=2810 pf=2319 | mention pc=2013 pf=2539
label n=0 pc=2810 pf=2319 | mention pc=2439 pf=2558
label n=0 pc=2810 pf=2319 | mention pc=1972 pf=2679
label n=0 pc=2810 pf=2319 | mention pc=2208 pf=3370
label n=0 pc=2810 pf=2319 | mention pc=2379 pf=3591
label n=0 pc=2810 pf=2319 | mention pc=2140 pf=3793
label n=0 pc=2810 pf=2319 | mention pc=2151 pf=3830
label n=0 pc=2810 pf=2319 | mention pc=1833 pf=3849
label n=0 pc=2815 pf=2334 | mention pc=2474 pf=121
label n=0 pc=2815 pf=2334 | mention pc=2262 pf=253
label n=0 pc=2815 pf=2334 | mention pc=2565 pf=311
label n=0 pc=2815 pf=2334 | mention pc=2405 pf=348
label n=0 pc=2815 pf=2334 | mention pc=2122 pf=505
label n=0 pc=2815 pf=2334 | mention pc=2140 pf=710
label n=0 pc=2815 pf=2334 | mention pc=2151 pf=747
label n=0 pc=2815 pf=2334 | mention pc=2486 pf=766
label n=0 pc=2815 pf=2334 | mention pc=2001 pf=1208
label n=0 pc=2815 pf=2334 | mention pc=2569 pf=1227
label n=0 pc=2815 pf=2334 | mention pc=2446 pf=1523
label n=0 pc=2815 pf=2334 | mention pc=2225 pf=1542
label n=0 pc=2815 pf=2334 | mention pc=2151 pf=1668
label n=0 pc=2815 pf=2334 | mention pc=2126 pf=1771
label n=0 pc=2815 pf=2334 | mention pc=2382 pf=1910
label n=0 pc=2815 pf=2334 | mention pc=2138 pf=2347
label n=0 pc=2815 pf=2334 | mention pc=2058 pf=2366
label n=0 pc=2815 pf=2334 | mention pc=2375 pf=2462
label n=0 pc=2815 pf=2334 | mention pc=1787 pf=2503
label n=0 pc=2815 pf=2334 | mention pc=2013 pf=2539
label n=0 pc=2815 pf=2334 | mention pc=2439 pf=2558
label n=0 pc=2815 pf=2334 | mention pc=1972 pf=2679
label n=0 pc=2815 pf=2334 | mention pc=2208 pf=3370
label n=0 pc=2815 pf=2334 | mention pc=2379 pf=3591
label n=0 pc=2815 pf=2334 | mention pc=2140 pf=3793
label n=0 pc=2815 pf=2334 | mention pc=2151 pf=3830
label n=0 pc=2815 pf=2334 | mention pc=1833 pf=3849
label n=0 pc=2818 pf=2353 | mention pc=2474 pf=121
label n=0 pc=2818 pf=2353 | mention pc=2262 pf=253
label n=0 pc=2818 pf=2353 | mention pc=2565 pf=311
label n=0 pc=2818 pf=2353 | mention pc=2405 pf=348
label n=0 pc=2818 pf=2353 | mention pc=2122 pf=505
label n=0 pc=2818 pf=2353 | mention pc=2140 pf=710
label n=0 pc=2818 pf=2353 | mention pc=2151 pf=747
label n=0 pc=2818 pf=2353 | mention pc=2486 pf=766
label n=0 pc=2818 pf=2353 | mention pc=2001 pf=1208
label n=0 pc=2818 pf=2353 | mention pc=2569 pf=1227
label n=0 pc=2818 pf=2353 | mention pc=2446 pf=1523
label n=0 pc=2818 pf=2353 | mention pc=2225 pf=1542
label n=0 pc=2818 pf=2353 | mention pc=2151 pf=1668
label n=0 pc=2818 pf=2353 | mention pc=2126 pf=1771
label n=0 pc=2818 pf=2353 | mention pc=2382 pf=1910
label n=0 pc=2818 pf=2353 | mention pc=2138 pf=2347
label n=0 pc=2818 pf=2353 | mention pc=2058 pf=2366
label n=0 pc=2818 pf=2353 | mention pc=2375 pf=2462
label n=0 pc=2818 pf=2353 | mention pc=1787 pf=2503
label n=0 pc=2818 pf=2353 | mention pc=2013 pf=2539
label n=0 pc=2818 pf=2353 | mention pc=2439 pf=2558
label n=0 pc=2818 pf=2353 | mention pc=1972 pf=2679
label n=0 pc=2818 pf=2353 | mention pc=2208 pf=3370
label n=0 pc=2818 pf=2353 | mention pc=2379 pf=3591
label n=0 pc=2818 pf=2353 | mention pc=2140 pf=3793
label n=0 pc=2818 pf=2353 | mention pc=2151 pf=3830
label n=0 pc=2818 pf=2353 | mention pc=1833 pf=3849
label n=0 pc=2821 pf=2372 | mention pc=2474 pf=121
label n=0 pc=2821 pf=2372 | mention pc=2262 pf=253
label n=0 pc=2821 pf=2372 | mention pc=2565 pf=311
label n=0 pc=2821 pf=2372 | mention pc=2405 pf=348
label n=0 pc=2821 pf=2372 | mention pc=2122 pf=505
label n=0 pc=2821 pf=2372 | mention pc=2140 pf=710
label n=0 pc=2821 pf=2372 | mention pc=2151 pf=747
label n=0 pc=2821 pf=2372 | mention pc=2486 pf=766
label n=0 pc=2821 pf=2372 | mention pc=2001 pf=1208
label n=0 pc=2821 pf=2372 | mention pc=2569 pf=1227
label n=0 pc=2821 pf=2372 | mention pc=2446 pf=1523
label n=0 pc=2821 pf=2372 | mention pc=2225 pf=1542
label n=0 pc=2821 pf=2372 | mention pc=2151 pf=1668
label n=0 pc=2821 pf=2372 | mention pc=2126 pf=1771
label n=0 pc=2821 pf=2372 | mention pc=2382 pf=1910
label n=0 pc=2821 pf=2372 | mention pc=2138 pf=2347
label n=0 pc=2821 pf=2372 | mention pc=2058 pf=2366
label n=0 pc=2821 pf=2372 | mention pc=2375 pf=2462
label n=0 pc=2821 pf=2372 | mention pc=1787 pf=2503
label n=0 pc=2821 pf=2372 | mention pc=2013 pf=2539
label n=0 pc=2821 pf=2372 | mention pc=2439 pf=2558
label n=0 pc=2821 pf=2372 | mention pc=1972 pf=2679
label n=0 pc=2821 pf=2372 | mention pc=2208 pf=3370
label n=0 pc=2821 pf=2372 | mention pc=2379 pf=3591
label n=0 pc=2821 pf=2372 | mention pc=2140 pf=3793
label n=0 pc=2821 pf=2372 | mention pc=2151 pf=3830
label n=0 pc=2821 pf=2372 | mention pc=1833 pf=3849
label n=0 pc=2826 pf=2387 | mention pc=2474 pf=121
label n=0 pc=2826 pf=2387 | mention pc=2262 pf=253
label n=0 pc=2826 pf=2387 | mention pc=2565 pf=311
label n=0 pc=2826 pf=2387 | mention pc=2405 pf=348
label n=0 pc=2826 pf=2387 | mention pc=2122 pf=505
label n=0 pc=2826 pf=2387 | mention pc=2140 pf=710
label n=0 pc=2826 pf=2387 | mention pc=2151 pf=747
label n=0 pc=2826 pf=2387 | mention pc=2486 pf=766
label n=0 pc=2826 pf=2387 | mention pc=2001 pf=1208
label n=0 pc=2826 pf=2387 | mention pc=2569 pf=1227
label n=0 pc=2826 pf=2387 | mention pc=2446 pf=1523
label n=0 pc=2826 pf=2387 | mention pc=2225 pf=1542
label n=0 pc=2826 pf=2387 | mention pc=2151 pf=1668
label n=0 pc=2826 pf=2387 | mention pc=2126 pf=1771
label n=0 pc=2826 pf=2387 | mention pc=2382 pf=1910
label n=0 pc=2826 pf=2387 | mention pc=2138 pf=2347
label n=0 pc=2826 pf=2387 | mention pc=2058 pf=2366
label n=0 pc=2826 pf=2387 | mention pc=2375 pf=2462
label n=0 pc=2826 pf=2387 | mention pc=1787 pf=2503
label n=0 pc=2826 pf=2387 | mention pc=2013 pf=2539
label n=0 pc=2826 pf=2387 | mention pc=2439 pf=2558
label n=0 pc=2826 pf=2387 | mention pc=1972 pf=2679
label n=0 pc=2826 pf=2387 | mention pc=2208 pf=3370
label n=0 pc=2826 pf=2387 | mention pc=2379 pf=3591
label n=0 pc=2826 pf=2387 | mention pc=2140 pf=3793
label n=0 pc=2826 pf=2387 | mention pc=2151 pf=3830
label n=0 pc=2826 pf=2387 | mention pc=1833 pf=3849
label n=0 pc=2833 pf=2404 | mention pc=2474 pf=121
label n=0 pc=2833 pf=2404 | mention pc=2262 pf=253
label n=0 pc=2833 pf=2404 | mention pc=2565 pf=311
label n=0 pc=2833 pf=2404 | mention pc=2405 pf=348
label n=0 pc=2833 pf=2404 | mention pc=2122 pf=505
label n=0 pc=2833 pf=2404 | mention pc=2140 pf=710
label n=0 pc=2833 pf=2404 | mention pc=2151 pf=747
label n=0 pc=2833 pf=2404 | mention pc=2486 pf=766
label n=0 pc=2833 pf=2404 | mention pc=2001 pf=1208
label n=0 pc=2833 pf=2404 | mention pc=2569 pf=1227
label n=0 pc=2833 pf=2404 | mention pc=2446 pf=1523
label n=0 pc=2833 pf=2404 | mention pc=2225 pf=1542
label n=0 pc=2833 pf=2404 | mention pc=2151 pf=1668
label n=0 pc=2833 pf=2404 | mention pc=2126 pf=1771
label n=0 pc=2833 pf=2404 | mention pc=2382 pf=1910
label n=0 pc=2833 pf=2404 | mention pc=2138 pf=2347
label n=0 pc=2833 pf=2404 | mention pc=2058 pf=2366
label n=0 pc=2833 pf=2404 | mention pc=2375 pf=2462
label n=0 pc=2833 pf=2404 | mention pc=1787 pf=2503
label n=0 pc=2833 pf=2404 | mention pc=2013 pf=2539
label n=0 pc=2833 pf=2404 | mention pc=2439 pf=2558
label n=0 pc=2833 pf=2404 | mention pc=1972 pf=2679
label n=0 pc=2833 pf=2404 | mention pc=2208 pf=3370
label n=0 pc=2833 pf=2404 | mention pc=2379 pf=3591
label n=0 pc=2833 pf=2404 | mention pc=2140 pf=3793
label n=0 pc=2833 pf=2404 | mention pc=2151 pf=3830
label n=0 pc=2833 pf=2404 | mention pc=1833 pf=3849
label n=0 pc=2840 pf=2428 | mention pc=2474 pf=121
label n=0 pc=2840 pf=2428 | mention pc=2262 pf=253
label n=0 pc=2840 pf=2428 | mention pc=2565 pf=311
label n=0 pc=2840 pf=2428 | mention pc=2405 pf=348
label n=0 pc=2840 pf=2428 | mention pc=2122 pf=505
label n=0 pc=2840 pf=2428 | mention pc=2140 pf=710
label n=0 pc=2840 pf=2428 | mention pc=2151 pf=747
label n=0 pc=2840 pf=2428 | mention pc=2486 pf=766
label n=0 pc=2840 pf=2428 | mention pc=2001 pf=1208
label n=0 pc=2840 pf=2428 | mention pc=2569 pf=1227
label n=0 pc=2840 pf=2428 | mention pc=2446 pf=1523
label n=0 pc=2840 pf=2428 | mention pc=2225 pf=1542
label n=0 pc=2840 pf=2428 | mention pc=2151 pf=1668
label n=0 pc=2840 pf=2428 | mention pc=2126 pf=1771
label n=0 pc=2840 pf=2428 | mention pc=2382 pf=1910
label n=0 pc=2840 pf=2428 | mention pc=2138 pf=2347
label n=0 pc=2840 pf=2428 | mention pc=2058 pf=2366
label n=0 pc=2840 pf=2428 | mention pc=2375 pf=2462
label n=0 pc=2840 pf=2428 | mention pc=1787 pf=2503
label n=0 pc=2840 pf=2428 | mention pc=2013 pf=2539
label n=0 pc=2840 pf=2428 | mention pc=2439 pf=2558
label n=0 pc=2840 pf=2428 | mention pc=1972 pf=2679
label n=0 pc=2840 pf=2428 | mention pc=2208 pf=3370
label n=0 pc=2840 pf=2428 | mention pc=2379 pf=3591
label n=0 pc=2840 pf=2428 | mention pc=2140 pf=3793
label n=0 pc=2840 pf=2428 | mention pc=2151 pf=3830
label n=0 pc=2840 pf=2428 | mention pc=1833 pf=3849
label n=0 pc=2845 pf=2449 | mention pc=2474 pf=121
label n=0 pc=2845 pf=2449 | mention pc=2262 pf=253
label n=0 pc=2845 pf=2449 | mention pc=2565 pf=311
label n=0 pc=2845 pf=2449 | mention pc=2405 pf=348
label n=0 pc=2845 pf=2449 | mention pc=2122 pf=505
label n=0 pc=2845 pf=2449 | mention pc=2140 pf=710
label n=0 pc=2845 pf=2449 | mention pc=2151 pf=747
label n=0 pc=2845 pf=2449 | mention pc=2486 pf=766
label n=0 pc=2845 pf=2449 | mention pc=2001 pf=1208
label n=0 pc=2845 pf=2449 | mention pc=2569 pf=1227
label n=0 pc=2845 pf=2449 | mention pc=2446 pf=1523
label n=0 pc=2845 pf=2449 | mention pc=2225 pf=1542
label n=0 pc=2845 pf=2449 | mention pc=2151 pf=1668
label n=0 pc=2845 pf=2449 | mention pc=2126 pf=1771
label n=0 pc=2845 pf=2449 | mention pc=2382 pf=1910
label n=0 pc=2845 pf=2449 | mention pc=2138 pf=2347
label n=0 pc=2845 pf=2449 | mention pc=2058 pf=2366
label n=0 pc=2845 pf=2449 | mention pc=2375 pf=2462
label n=0 pc=2845 pf=2449 | mention pc=1787 pf=2503
label n=0 pc=2845 pf=2449 | mention pc=2013 pf=2539
label n=0 pc=2845 pf=2449 | mention pc=2439 pf=2558
label n=0 pc=2845 pf=2449 | mention pc=1972 pf=2679
label n=0 pc=2845 pf=2449 | mention pc=2208 pf=3370
label n=0 pc=2845 pf=2449 | mention pc=2379 pf=3591
label n=0 pc=2845 pf=2449 | mention pc=2140 pf=3793
label n=0 pc=2845 pf=2449 | mention pc=2151 pf=3830
label n=0 pc=2845 pf=2449 | mention pc=1833 pf=3849
label n=0 pc=2848 pf=2468 | mention pc=2474 pf=121
label n=0 pc=2848 pf=2468 | mention pc=2262 pf=253
label n=0 pc=2848 pf=2468 | mention pc=2565 pf=311
label n=0 pc=2848 pf=2468 | mention pc=2405 pf=348
label n=0 pc=2848 pf=2468 | mention pc=2122 pf=505
label n=0 pc=2848 pf=2468 | mention pc=2140 pf=710
label n=0 pc=2848 pf=2468 | mention pc=2151 pf=747
label n=0 pc=2848 pf=2468 | mention pc=2486 pf=766
label n=0 pc=2848 pf=2468 | mention pc=2001 pf=1208
label n=0 pc=2848 pf=2468 | mention pc=2569 pf=1227
label n=0 pc=2848 pf=2468 | mention pc=2446 pf=1523
label n=0 pc=2848 pf=2468 | mention pc=2225 pf=1542
label n=0 pc=2848 pf=2468 | mention pc=2151 pf=1668
label n=0 pc=2848 pf=2468 | mention pc=2126 pf=1771
label n=0 pc=2848 pf=2468 | mention pc=2382 pf=1910
label n=0 pc=2848 pf=2468 | mention pc=2138 pf=2347
label n=0 pc=2848 pf=2468 | mention pc=2058 pf=2366
label n=0 pc=2848 pf=2468 | mention pc=2375 pf=2462
label n=0 pc=2848 pf=2468 | mention pc=1787 pf=2503
label n=0 pc=2848 pf=2468 | mention pc=2013 pf=2539
label n=0 pc=2848 pf=2468 | mention pc=2439 pf=2558
label n=0 pc=2848 pf=2468 | mention pc=1972 pf=2679
label n=0 pc=2848 pf=2468 | mention pc=2208 pf=3370
label n=0 pc=2848 pf=2468 | mention pc=2379 pf=3591
label n=0 pc=2848 pf=2468 | mention pc=2140 pf=3793
label n=0 pc=2848 pf=2468 | mention pc=2151 pf=3830
label n=0 pc=2848 pf=2468 | mention pc=1833 pf=3849
label n=0 pc=2853 pf=2490 | mention pc=2474 pf=121
label n=0 pc=2853 pf=2490 | mention pc=2262 pf=253
label n=0 pc=2853 pf=2490 | mention pc=2565 pf=311
label n=0 pc=2853 pf=2490 | mention pc=2405 pf=348
label n=0 pc=2853 pf=2490 | mention pc=2122 pf=505
label n=0 pc=2853 pf=2490 | mention pc=2140 pf=710
label n=0 pc=2853 pf=2490 | mention pc=2151 pf=747
label n=0 pc=2853 pf=2490 | mention pc=2486 pf=766
label n=0 pc=2853 pf=2490 | mention pc=2001 pf=1208
label n=0 pc=2853 pf=2490 | mention pc=2569 pf=1227
label n=0 pc=2853 pf=2490 | mention pc=2446 pf=1523
label n=0 pc=2853 pf=2490 | mention pc=2225 pf=1542
label n=0 pc=2853 pf=2490 | mention pc=2151 pf=1668
label n=0 pc=2853 pf=2490 | mention pc=2126 pf=1771
label n=0 pc=2853 pf=2490 | mention pc=2382 pf=1910
label n=0 pc=2853 pf=2490 | mention pc=2138 pf=2347
label n=0 pc=2853 pf=2490 | mention pc=2058 pf=2366
label n=0 pc=2853 pf=2490 | mention pc=2375 pf=2462
label n=0 pc=2853 pf=2490 | mention pc=1787 pf=2503
label n=0 pc=2853 pf=2490 | mention pc=2013 pf=2539
label n=0 pc=2853 pf=2490 | mention pc=2439 pf=2558
label n=0 pc=2853 pf=2490 | mention pc=1972 pf=2679
label n=0 pc=2853 pf=2490 | mention pc=2208 pf=3370
label n=0 pc=2853 pf=2490 | mention pc=2379 pf=3591
label n=0 pc=2853 pf=2490 | mention pc=2140 pf=3793
label n=0 pc=2853 pf=2490 | mention pc=2151 pf=3830
label n=0 pc=2853 pf=2490 | mention pc=1833 pf=3849
label n=0 pc=2856 pf=2509 | mention pc=2474 pf=121
label n=0 pc=2856 pf=2509 | mention pc=2262 pf=253
label n=0 pc=2856 pf=2509 | mention pc=2565 pf=311
label n=0 pc=2856 pf=2509 | mention pc=2405 pf=348
label n=0 pc=2856 pf=2509 | mention pc=2122 pf=505
label n=0 pc=2856 pf=2509 | mention pc=2140 pf=710
label n=0 pc=2856 pf=2509 | mention pc=2151 pf=747
label n=0 pc=2856 pf=2509 | mention pc=2486 pf=766
label n=0 pc=2856 pf=2509 | mention pc=2001 pf=1208
label n=0 pc=2856 pf=2509 | mention pc=2569 pf=1227
label n=0 pc=2856 pf=2509 | mention pc=2446 pf=1523
label n=0 pc=2856 pf=2509 | mention pc=2225 pf=1542
label n=0 pc=2856 pf=2509 | mention pc=2151 pf=1668
label n=0 pc=2856 pf=2509 | mention pc=2126 pf=1771
label n=0 pc=2856 pf=2509 | mention pc=2382 pf=1910
label n=0 pc=2856 pf=2509 | mention pc=2138 pf=2347
label n=0 pc=2856 pf=2509 | mention pc=2058 pf=2366
label n=0 pc=2856 pf=2509 | mention pc=2375 pf=2462
label n=0 pc=2856 pf=2509 | mention pc=1787 pf=2503
label n=0 pc=2856 pf=2509 | mention pc=2013 pf=2539
label n=0 pc=2856 pf=2509 | mention pc=2439 pf=2558
label n=0 pc=2856 pf=2509 | mention pc=1972 pf=2679
label n=0 pc=2856 pf=2509 | mention pc=2208 pf=3370
label n=0 pc=2856 pf=2509 | mention pc=2379 pf=3591
label n=0 pc=2856 pf=2509 | mention pc=2140 pf=3793
label n=0 pc=2856 pf=2509 | mention pc=2151 pf=3830
label n=0 pc=2856 pf=2509 | mention pc=1833 pf=3849
label n=0 pc=2863 pf=2526 | mention pc=2474 pf=121
label n=0 pc=2863 pf=2526 | mention pc=2262 pf=253
label n=0 pc=2863 pf=2526 | mention pc=2565 pf=311
label n=0 pc=2863 pf=2526 | mention pc=2405 pf=348
label n=0 pc=2863 pf=2526 | mention pc=2122 pf=505
label n=0 pc=2863 pf=2526 | mention pc=2140 pf=710
label n=0 pc=2863 pf=2526 | mention pc=2151 pf=747
label n=0 pc=2863 pf=2526 | mention pc=2486 pf=766
label n=0 pc=2863 pf=2526 | mention pc=2001 pf=1208
label n=0 pc=2863 pf=2526 | mention pc=2569 pf=1227
label n=0 pc=2863 pf=2526 | mention pc=2446 pf=1523
label n=0 pc=2863 pf=2526 | mention pc=2225 pf=1542
label n=0 pc=2863 pf=2526 | mention pc=2151 pf=1668
label n=0 pc=2863 pf=2526 | mention pc=2126 pf=1771
label n=0 pc=2863 pf=2526 | mention pc=2382 pf=1910
label n=0 pc=2863 pf=2526 | mention pc=2138 pf=2347
label n=0 pc=2863 pf=2526 | mention pc=2058 pf=2366
label n=0 pc=2863 pf=2526 | mention pc=2375 pf=2462
label n=0 pc=2863 pf=2526 | mention pc=1787 pf=2503
label n=0 pc=2863 pf=2526 | mention pc=2013 pf=2539
label n=0 pc=2863 pf=2526 | mention pc=2439 pf=2558
label n=0 pc=2863 pf=2526 | mention pc=1972 pf=2679
label n=0 pc=2863 pf=2526 | mention pc=2208 pf=3370
label n=0 pc=2863 pf=2526 | mention pc=2379 pf=3591
label n=0 pc=2863 pf=2526 | mention pc=2140 pf=3793
label n=0 pc=2863 pf=2526 | mention pc=2151 pf=3830
